S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
831,USA,2016,Ransomware,Government,"8,210,000.00","537,592.00",Nation-state,Social Engineering,Antivirus,11
832,Brazil,2022,SQL Injection,Retail,"25,850,000.00","632,061.00",Nation-state,Zero-day,Antivirus,2
833,Brazil,2015,DDoS,Retail,"67,520,000.00","224,815.00",Nation-state,Social Engineering,Firewall,32
834,India,2022,DDoS,IT,"23,910,000.00","169,310.00",Unknown,Weak Passwords,Encryption,36
835,Japan,2023,Man in the Middle,Communications,"86,980,000.00","635,827.00",Nation-state,Social Engineering,Encryption,72
836,UK,2022,Ransomware,IT,"63,670,000.00","560,021.00",Unknown,Zero-day,Encryption,43
837,Japan,2021,Man in the Middle,Government,"61,030,000.00","768,506.00",Nation-state,Zero-day,AI-based Detection,11
838,Australia,2018,Phishing,Healthcare,"39,940,000.00","755,469.00",Hacker Group,Social Engineering,Antivirus,58
839,India,2022,Ransomware,Retail,"74,050,000.00","205,336.00",Hacker Group,Social Engineering,AI-based Detection,2
840,France,2020,DDoS,IT,"7,520,000.00","957,779.00",Nation-state,Social Engineering,Encryption,17
841,UK,2017,Malware,Education,"29,470,000.00","85,644.00",Hacker Group,Social Engineering,AI-based Detection,3
842,France,2019,Man in the Middle,Communications,"75,990,000.00","561,713.00",Insider,Unpatched Software,Firewall,31
843,Germany,2017,Phishing,Healthcare,"53,570,000.00","287,762.00",Insider,Weak Passwords,Encryption,13
844,India,2015,Phishing,Healthcare,"76,080,000.00","471,550.00",Unknown,Zero-day,VPN,5
845,Japan,2018,SQL Injection,IT,"69,190,000.00","33,209.00",Insider,Unpatched Software,AI-based Detection,66
846,China,2017,Phishing,Retail,"45,830,000.00","395,251.00",Unknown,Unpatched Software,Encryption,33
847,Germany,2019,DDoS,IT,"14,770,000.00","491,791.00",Hacker Group,Zero-day,Encryption,66
848,Australia,2016,Phishing,Healthcare,"53,810,000.00","279,874.00",Hacker Group,Unpatched Software,AI-based Detection,66
849,France,2019,Malware,IT,"71,940,000.00","881,326.00",Insider,Unpatched Software,Firewall,43
850,UK,2023,DDoS,IT,"68,860,000.00","749,700.00",Nation-state,Zero-day,AI-based Detection,35
851,UK,2022,Phishing,Government,"97,560,000.00","722,445.00",Nation-state,Weak Passwords,Firewall,10
852,USA,2023,Ransomware,Government,"84,130,000.00","695,841.00",Nation-state,Zero-day,AI-based Detection,21
853,USA,2020,SQL Injection,Government,"40,950,000.00","803,757.00",Hacker Group,Social Engineering,Firewall,33
854,Japan,2022,DDoS,IT,"20,160,000.00","174,510.00",Insider,Zero-day,AI-based Detection,60
855,Germany,2022,SQL Injection,Retail,"11,510,000.00","857,660.00",Hacker Group,Zero-day,VPN,37
856,UK,2020,SQL Injection,Banking,"47,670,000.00","729,265.00",Unknown,Zero-day,Firewall,42
857,India,2023,Phishing,Retail,"38,890,000.00","836,604.00",Hacker Group,Unpatched Software,AI-based Detection,44
858,China,2016,Malware,Government,"91,690,000.00","885,843.00",Insider,Unpatched Software,AI-based Detection,46
859,France,2015,Man in the Middle,Education,"17,940,000.00","808,798.00",Unknown,Social Engineering,Encryption,60
860,Russia,2018,Man in the Middle,Communications,"30,500,000.00","401,208.00",Hacker Group,Unpatched Software,VPN,10
861,Japan,2021,Ransomware,Healthcare,"77,330,000.00","380,970.00",Nation-state,Weak Passwords,Encryption,44
862,USA,2021,Phishing,Healthcare,"70,030,000.00","248,437.00",Hacker Group,Social Engineering,Encryption,70
863,Australia,2024,SQL Injection,Retail,"66,490,000.00","709,125.00",Hacker Group,Weak Passwords,AI-based Detection,37
864,Japan,2018,Malware,Education,"5,330,000.00","656,250.00",Hacker Group,Social Engineering,Firewall,67
865,India,2020,Ransomware,Healthcare,"10,460,000.00","32,616.00",Unknown,Unpatched Software,Firewall,63
866,Australia,2017,Phishing,Healthcare,"39,300,000.00","290,846.00",Unknown,Weak Passwords,Firewall,3
867,India,2023,DDoS,Banking,"23,830,000.00","557,428.00",Insider,Unpatched Software,VPN,38
868,Japan,2015,DDoS,Banking,"59,130,000.00","182,440.00",Insider,Zero-day,Firewall,8
869,Australia,2021,DDoS,Government,"30,240,000.00","292,383.00",Insider,Social Engineering,Encryption,71
870,France,2017,DDoS,Government,"86,820,000.00","99,728.00",Nation-state,Unpatched Software,VPN,44
871,USA,2015,DDoS,IT,"66,390,000.00","365,006.00",Insider,Weak Passwords,VPN,47
872,Russia,2019,Ransomware,Communications,"61,110,000.00","605,427.00",Nation-state,Zero-day,Encryption,33
873,USA,2022,Malware,Retail,"7,650,000.00","864,358.00",Hacker Group,Unpatched Software,VPN,11
874,USA,2016,Ransomware,Retail,"9,820,000.00","610,968.00",Unknown,Unpatched Software,Antivirus,26
875,China,2016,DDoS,IT,"67,280,000.00","413,150.00",Hacker Group,Social Engineering,Firewall,27
876,USA,2017,Malware,Education,"13,140,000.00","681,956.00",Nation-state,Social Engineering,Antivirus,35
877,Australia,2016,Man in the Middle,IT,"84,460,000.00","94,162.00",Unknown,Weak Passwords,Firewall,15
878,France,2023,Man in the Middle,Retail,"9,430,000.00","565,002.00",Hacker Group,Unpatched Software,Firewall,72
879,France,2017,Phishing,Retail,"90,690,000.00","275,185.00",Nation-state,Zero-day,Encryption,20
880,Russia,2021,DDoS,Retail,"37,470,000.00","476,758.00",Hacker Group,Unpatched Software,AI-based Detection,19
881,USA,2024,SQL Injection,Banking,"7,200,000.00","312,607.00",Hacker Group,Weak Passwords,Antivirus,24
882,Russia,2017,Phishing,Banking,"94,150,000.00","963,192.00",Hacker Group,Weak Passwords,VPN,7
883,Australia,2015,Malware,Healthcare,"42,150,000.00","680,874.00",Unknown,Zero-day,Antivirus,8
884,France,2018,DDoS,Government,"15,710,000.00","904,770.00",Hacker Group,Social Engineering,Antivirus,4
885,USA,2022,SQL Injection,Government,"98,460,000.00","429,452.00",Hacker Group,Weak Passwords,Antivirus,6
886,USA,2018,Ransomware,Healthcare,"51,710,000.00","858,128.00",Hacker Group,Social Engineering,Antivirus,35
887,China,2021,Malware,Education,"42,260,000.00","615,849.00",Nation-state,Unpatched Software,Encryption,44
888,UK,2019,Phishing,Education,"99,450,000.00","467,349.00",Nation-state,Zero-day,Firewall,44
889,France,2021,SQL Injection,Retail,"63,740,000.00","235,418.00",Nation-state,Weak Passwords,Encryption,28
890,Australia,2017,SQL Injection,IT,"5,050,000.00","823,606.00",Insider,Weak Passwords,Encryption,25
891,China,2020,SQL Injection,IT,"89,380,000.00","923,489.00",Nation-state,Unpatched Software,Firewall,66
892,USA,2024,Phishing,IT,"58,570,000.00","630,793.00",Hacker Group,Social Engineering,AI-based Detection,64
893,France,2015,SQL Injection,Education,"65,830,000.00","691,903.00",Unknown,Zero-day,VPN,54
894,UK,2019,Phishing,Government,"79,790,000.00","133,632.00",Hacker Group,Weak Passwords,Firewall,8
895,Australia,2017,Phishing,Banking,"90,500,000.00","42,278.00",Insider,Weak Passwords,AI-based Detection,45
896,Germany,2016,Phishing,IT,"2,100,000.00","176,471.00",Unknown,Zero-day,VPN,9
897,India,2015,SQL Injection,Communications,"63,720,000.00","916,516.00",Hacker Group,Social Engineering,Encryption,68
898,Japan,2023,SQL Injection,Government,"87,800,000.00","510,002.00",Hacker Group,Social Engineering,Firewall,62
899,UK,2015,Malware,IT,"82,450,000.00","435,994.00",Nation-state,Unpatched Software,Encryption,51
900,India,2016,Ransomware,IT,"66,190,000.00","537,670.00",Hacker Group,Unpatched Software,Encryption,55
901,Russia,2022,Malware,Banking,"39,620,000.00","850,339.00",Hacker Group,Social Engineering,Firewall,50
902,Japan,2021,DDoS,Government,"35,460,000.00","937,562.00",Unknown,Zero-day,Firewall,10
903,France,2020,Malware,Government,"10,620,000.00","405,267.00",Nation-state,Unpatched Software,AI-based Detection,5
904,China,2022,DDoS,Government,"80,760,000.00","346,279.00",Unknown,Zero-day,Encryption,59
905,Brazil,2016,DDoS,Communications,"10,450,000.00","889,928.00",Nation-state,Zero-day,Encryption,63
906,France,2018,SQL Injection,Healthcare,"950,000.00","376,206.00",Unknown,Unpatched Software,Antivirus,44
907,India,2018,Ransomware,IT,"27,140,000.00","227,433.00",Unknown,Unpatched Software,Antivirus,13
908,Germany,2023,Ransomware,Healthcare,"54,790,000.00","393,779.00",Nation-state,Weak Passwords,Encryption,39
909,Russia,2022,Ransomware,IT,"41,080,000.00","529,025.00",Insider,Unpatched Software,AI-based Detection,42
910,Brazil,2024,Man in the Middle,Education,"8,940,000.00","451,311.00",Unknown,Weak Passwords,Encryption,14
911,India,2017,Ransomware,Education,"98,110,000.00","677,198.00",Unknown,Social Engineering,VPN,28
912,Russia,2024,Man in the Middle,Healthcare,"9,400,000.00","480,988.00",Nation-state,Unpatched Software,Encryption,59
913,Australia,2015,Ransomware,Communications,"46,390,000.00","605,536.00",Nation-state,Unpatched Software,VPN,61
914,Brazil,2018,Ransomware,Banking,"30,610,000.00","910,960.00",Nation-state,Social Engineering,Antivirus,31
915,China,2018,Ransomware,Banking,"43,980,000.00","386,308.00",Nation-state,Weak Passwords,Antivirus,3
916,Australia,2017,Man in the Middle,Banking,"54,380,000.00","100,855.00",Unknown,Social Engineering,VPN,2
917,China,2023,Malware,Education,"23,740,000.00","317,922.00",Insider,Social Engineering,Antivirus,18
918,USA,2018,DDoS,IT,"82,130,000.00","220,618.00",Unknown,Weak Passwords,Firewall,59
919,India,2015,Ransomware,Communications,"24,700,000.00","825,941.00",Hacker Group,Unpatched Software,VPN,54
920,China,2022,Malware,Education,"60,900,000.00","331,234.00",Unknown,Social Engineering,Antivirus,3
921,China,2020,Man in the Middle,Communications,"14,610,000.00","855,055.00",Hacker Group,Unpatched Software,Antivirus,59
922,Japan,2022,DDoS,Communications,"34,310,000.00","305,329.00",Unknown,Unpatched Software,Firewall,40
923,Japan,2020,Phishing,Government,"32,390,000.00","442,923.00",Nation-state,Social Engineering,Encryption,57
924,UK,2015,Ransomware,Banking,"79,300,000.00","893,277.00",Unknown,Social Engineering,Firewall,15
925,China,2020,Malware,Healthcare,"30,860,000.00","240,532.00",Insider,Weak Passwords,Encryption,64
926,USA,2016,DDoS,Healthcare,"93,140,000.00","947,960.00",Nation-state,Weak Passwords,Firewall,55
927,Brazil,2018,Malware,Healthcare,"52,870,000.00","437,283.00",Insider,Zero-day,Antivirus,30
928,China,2019,Malware,Healthcare,"29,610,000.00","761,390.00",Insider,Weak Passwords,Antivirus,7
929,France,2019,Phishing,Retail,"25,750,000.00","998,507.00",Insider,Weak Passwords,AI-based Detection,15
930,India,2017,DDoS,Retail,"82,170,000.00","593,329.00",Hacker Group,Unpatched Software,AI-based Detection,62
931,UK,2019,Phishing,Banking,"60,070,000.00","197,590.00",Insider,Zero-day,Encryption,62
932,Japan,2017,Ransomware,Banking,"50,750,000.00","53,111.00",Hacker Group,Social Engineering,Antivirus,15
933,Australia,2017,Phishing,Retail,"14,880,000.00","69,641.00",Hacker Group,Unpatched Software,Firewall,54
934,Germany,2022,DDoS,IT,"73,980,000.00","953,770.00",Insider,Weak Passwords,Firewall,54
935,Japan,2023,SQL Injection,Retail,"42,330,000.00","643,549.00",Nation-state,Weak Passwords,VPN,20
936,Brazil,2022,Man in the Middle,Education,"77,980,000.00","899,279.00",Insider,Zero-day,Firewall,39
937,India,2016,Ransomware,Education,"8,550,000.00","857,887.00",Unknown,Social Engineering,Firewall,44
938,Russia,2016,Phishing,Government,"30,570,000.00","503,775.00",Unknown,Zero-day,VPN,71
939,Japan,2015,SQL Injection,IT,"36,980,000.00","452,892.00",Unknown,Weak Passwords,VPN,17
940,Russia,2018,Ransomware,Healthcare,"24,060,000.00","327,566.00",Unknown,Unpatched Software,AI-based Detection,6
941,Australia,2018,Ransomware,Education,"50,660,000.00","851,204.00",Insider,Zero-day,Firewall,3
942,UK,2017,Man in the Middle,Government,"79,270,000.00","923,309.00",Hacker Group,Unpatched Software,Firewall,29
943,Brazil,2023,Phishing,Banking,"71,860,000.00","151,590.00",Nation-state,Zero-day,Antivirus,30
944,UK,2022,DDoS,Education,"21,010,000.00","452,432.00",Nation-state,Unpatched Software,Firewall,8
945,Japan,2015,Ransomware,Retail,"95,380,000.00","769,596.00",Nation-state,Weak Passwords,VPN,65
946,Germany,2022,Phishing,Banking,"14,790,000.00","407,151.00",Unknown,Weak Passwords,Antivirus,37
947,Brazil,2023,DDoS,IT,"45,970,000.00","312,555.00",Nation-state,Social Engineering,AI-based Detection,67
948,Brazil,2019,Man in the Middle,Government,"76,390,000.00","311,908.00",Unknown,Weak Passwords,Encryption,68
949,China,2018,Malware,Banking,"68,550,000.00","59,979.00",Insider,Zero-day,Firewall,41
950,Japan,2019,Malware,IT,"9,860,000.00","233,545.00",Unknown,Zero-day,Antivirus,55
951,France,2020,Man in the Middle,Retail,"89,850,000.00","722,081.00",Hacker Group,Zero-day,VPN,33
952,Russia,2024,SQL Injection,Healthcare,"76,990,000.00","873,037.00",Nation-state,Unpatched Software,Antivirus,31
953,India,2022,Malware,IT,"12,080,000.00","482,213.00",Nation-state,Social Engineering,AI-based Detection,3
954,India,2020,Phishing,Education,"39,720,000.00","512,850.00",Hacker Group,Zero-day,Antivirus,15
955,China,2023,Man in the Middle,Communications,"37,730,000.00","849,834.00",Hacker Group,Zero-day,AI-based Detection,56
956,Brazil,2022,Malware,Retail,"78,030,000.00","660,707.00",Insider,Unpatched Software,Firewall,11
957,USA,2021,Ransomware,Education,"6,770,000.00","697,935.00",Unknown,Social Engineering,AI-based Detection,16
958,Russia,2019,Malware,IT,"71,920,000.00","500,655.00",Nation-state,Zero-day,AI-based Detection,8
959,USA,2020,Ransomware,IT,"95,790,000.00","239,343.00",Nation-state,Zero-day,VPN,63
960,China,2023,Phishing,Retail,"90,040,000.00","143,728.00",Unknown,Zero-day,AI-based Detection,57
961,USA,2020,Phishing,Retail,"99,640,000.00","464,717.00",Insider,Weak Passwords,VPN,27
962,Russia,2018,SQL Injection,Education,"1,250,000.00","351,063.00",Nation-state,Weak Passwords,Firewall,56
963,Australia,2015,DDoS,Government,"13,960,000.00","479,025.00",Nation-state,Zero-day,Antivirus,54
964,Germany,2021,DDoS,Banking,"1,620,000.00","823,004.00",Nation-state,Zero-day,Encryption,22
965,Russia,2021,DDoS,Education,"18,470,000.00","394,957.00",Hacker Group,Weak Passwords,Antivirus,27
966,France,2019,Phishing,Communications,"28,880,000.00","96,640.00",Unknown,Social Engineering,Antivirus,60
967,Russia,2024,DDoS,Education,"19,500,000.00","325,634.00",Insider,Weak Passwords,Firewall,5
968,France,2023,SQL Injection,Government,"29,630,000.00","662,667.00",Hacker Group,Zero-day,VPN,30
969,USA,2024,Phishing,IT,"57,240,000.00","107,681.00",Unknown,Zero-day,VPN,18
970,Russia,2017,Phishing,Banking,"3,200,000.00","982,243.00",Insider,Zero-day,Encryption,6
971,Japan,2022,SQL Injection,Government,"79,190,000.00","950,425.00",Unknown,Social Engineering,Antivirus,54
972,Brazil,2017,Ransomware,Education,"80,500,000.00","279,808.00",Insider,Social Engineering,Antivirus,60
973,India,2024,SQL Injection,Communications,"71,200,000.00","190,099.00",Unknown,Zero-day,AI-based Detection,15
974,Brazil,2019,Malware,Government,"12,040,000.00","713,035.00",Nation-state,Social Engineering,AI-based Detection,59
975,Australia,2016,Malware,Retail,"29,050,000.00","817,347.00",Nation-state,Weak Passwords,Antivirus,68
976,Germany,2023,Ransomware,Healthcare,"28,180,000.00","707,214.00",Unknown,Weak Passwords,AI-based Detection,11
977,UK,2016,DDoS,Retail,"39,260,000.00","668,780.00",Hacker Group,Zero-day,Firewall,33
978,Russia,2015,DDoS,Communications,"57,210,000.00","609,196.00",Unknown,Social Engineering,VPN,4
979,USA,2021,Man in the Middle,Communications,"83,880,000.00","980,367.00",Nation-state,Unpatched Software,Firewall,3
980,Russia,2022,Man in the Middle,IT,"84,100,000.00","919,858.00",Nation-state,Unpatched Software,Encryption,47
981,France,2017,DDoS,Healthcare,"39,490,000.00","195,459.00",Hacker Group,Weak Passwords,Encryption,14
982,Russia,2015,Man in the Middle,Government,"46,760,000.00","713,342.00",Unknown,Weak Passwords,Encryption,36
983,UK,2019,DDoS,Banking,"80,680,000.00","19,007.00",Nation-state,Unpatched Software,VPN,29
984,China,2022,Ransomware,Government,"86,560,000.00","963,091.00",Insider,Zero-day,VPN,37
985,UK,2017,Malware,Government,"66,250,000.00","726,887.00",Hacker Group,Social Engineering,Firewall,13
986,Russia,2021,DDoS,IT,"78,760,000.00","130,413.00",Unknown,Social Engineering,Encryption,66
987,Germany,2017,Malware,Banking,"97,680,000.00","906,914.00",Hacker Group,Zero-day,AI-based Detection,15
988,China,2020,Ransomware,IT,"14,940,000.00","557,218.00",Nation-state,Zero-day,Firewall,70
989,Russia,2018,SQL Injection,Banking,"59,290,000.00","380,543.00",Unknown,Weak Passwords,VPN,26
990,UK,2022,Malware,Retail,"39,550,000.00","337,363.00",Insider,Social Engineering,VPN,2
991,China,2018,DDoS,IT,"14,040,000.00","803,086.00",Nation-state,Social Engineering,VPN,23
992,China,2024,Man in the Middle,IT,"63,790,000.00","195,858.00",Hacker Group,Zero-day,Encryption,1
993,India,2019,Malware,Banking,"37,030,000.00","358,371.00",Insider,Weak Passwords,AI-based Detection,30
994,Australia,2019,Phishing,Retail,"9,120,000.00","212,267.00",Insider,Zero-day,Antivirus,14
995,France,2021,Man in the Middle,Healthcare,"52,040,000.00","757,744.00",Nation-state,Zero-day,Antivirus,43
996,Japan,2017,Ransomware,Retail,"59,130,000.00","747,705.00",Insider,Unpatched Software,VPN,47
997,USA,2024,Phishing,Communications,"64,670,000.00","996,651.00",Hacker Group,Weak Passwords,Encryption,69
998,UK,2015,Ransomware,Government,"52,780,000.00","281,905.00",Insider,Social Engineering,VPN,32
999,Brazil,2019,Man in the Middle,Healthcare,"7,440,000.00","739,981.00",Unknown,Social Engineering,Antivirus,54
1000,France,2016,SQL Injection,Communications,"47,190,000.00","554,448.00",Hacker Group,Social Engineering,Antivirus,31
1001,USA,2016,Ransomware,Healthcare,"99,190,000.00","745,103.00",Insider,Unpatched Software,Encryption,8
1002,India,2015,DDoS,Healthcare,"10,940,000.00","600,279.00",Insider,Unpatched Software,AI-based Detection,16
1003,Russia,2016,Man in the Middle,IT,"48,860,000.00","973,654.00",Unknown,Unpatched Software,Encryption,23
1004,China,2016,DDoS,Communications,"80,480,000.00","78,123.00",Hacker Group,Social Engineering,Antivirus,50
1005,UK,2015,Man in the Middle,Government,"69,960,000.00","675,955.00",Insider,Zero-day,Antivirus,60
1006,China,2016,DDoS,IT,"18,960,000.00","122,866.00",Insider,Unpatched Software,VPN,46
1007,Russia,2018,Ransomware,Education,"66,330,000.00","177,570.00",Nation-state,Social Engineering,Encryption,72
1008,France,2024,Man in the Middle,Retail,"60,400,000.00","774,913.00",Unknown,Unpatched Software,Antivirus,43
1009,China,2024,Phishing,IT,"24,920,000.00","852,327.00",Unknown,Zero-day,VPN,44
1010,Australia,2019,DDoS,IT,"32,060,000.00","775,033.00",Hacker Group,Zero-day,Antivirus,8
1011,China,2022,Phishing,Communications,"71,770,000.00","823,093.00",Insider,Zero-day,Firewall,36
1012,France,2018,Phishing,Government,"70,590,000.00","947,445.00",Insider,Social Engineering,Encryption,59
1013,Japan,2018,DDoS,IT,"75,340,000.00","972,713.00",Unknown,Unpatched Software,Encryption,71
1014,France,2023,Malware,Banking,"9,990,000.00","116,840.00",Unknown,Zero-day,Firewall,51
1015,USA,2021,Ransomware,Communications,"91,940,000.00","710,953.00",Unknown,Zero-day,Firewall,9
1016,Russia,2015,DDoS,IT,"66,090,000.00","467,190.00",Nation-state,Social Engineering,AI-based Detection,25
1017,Germany,2024,Phishing,Healthcare,"66,730,000.00","540,773.00",Unknown,Unpatched Software,VPN,15
1018,Australia,2018,SQL Injection,Banking,"40,110,000.00","874,040.00",Unknown,Social Engineering,Firewall,6
1019,Australia,2022,SQL Injection,Healthcare,"60,710,000.00","8,498.00",Nation-state,Weak Passwords,VPN,17
1020,USA,2016,DDoS,IT,"18,480,000.00","112,881.00",Hacker Group,Social Engineering,VPN,32
1021,Japan,2018,DDoS,IT,"9,900,000.00","942,725.00",Insider,Zero-day,VPN,56
1022,France,2024,Phishing,Education,"52,030,000.00","168,684.00",Nation-state,Unpatched Software,VPN,27
1023,Japan,2018,DDoS,Communications,"25,060,000.00","559,274.00",Hacker Group,Social Engineering,Firewall,27
1024,UK,2016,Phishing,Retail,"13,680,000.00","144,856.00",Unknown,Unpatched Software,Antivirus,13
1025,Japan,2015,Malware,Banking,"2,630,000.00","418,914.00",Nation-state,Unpatched Software,Firewall,53
1026,Brazil,2024,Phishing,Retail,"88,470,000.00","842,945.00",Hacker Group,Weak Passwords,Firewall,67
1027,UK,2022,DDoS,Government,"50,040,000.00","841,198.00",Unknown,Zero-day,VPN,41
1028,Germany,2024,Phishing,Government,"19,520,000.00","50,054.00",Insider,Unpatched Software,Antivirus,24
1029,Brazil,2020,DDoS,Communications,"4,520,000.00","52,302.00",Unknown,Social Engineering,VPN,58
1030,India,2015,Man in the Middle,Banking,"97,280,000.00","694,308.00",Nation-state,Weak Passwords,VPN,66
1031,China,2019,Malware,Communications,"62,670,000.00","520,232.00",Nation-state,Weak Passwords,Encryption,53
1032,Germany,2018,SQL Injection,Retail,"46,340,000.00","575,379.00",Unknown,Zero-day,AI-based Detection,35
1033,Russia,2023,Man in the Middle,IT,"26,450,000.00","850,714.00",Hacker Group,Unpatched Software,Encryption,6
1034,Germany,2023,SQL Injection,Healthcare,"14,120,000.00","403,325.00",Hacker Group,Weak Passwords,AI-based Detection,35
1035,Brazil,2022,Phishing,Education,"80,990,000.00","345,577.00",Insider,Unpatched Software,Encryption,4
1036,Australia,2017,Man in the Middle,IT,"30,510,000.00","428,352.00",Hacker Group,Unpatched Software,Firewall,41
1037,Brazil,2023,Phishing,Banking,"69,450,000.00","852,592.00",Nation-state,Zero-day,AI-based Detection,12
1038,USA,2019,SQL Injection,Education,"78,120,000.00","36,804.00",Unknown,Weak Passwords,VPN,30
1039,Brazil,2020,Phishing,Communications,"92,630,000.00","725,707.00",Hacker Group,Weak Passwords,AI-based Detection,9
1040,Australia,2017,Man in the Middle,Communications,"35,270,000.00","765,929.00",Nation-state,Weak Passwords,Firewall,16
1041,Russia,2017,Man in the Middle,Retail,"17,220,000.00","242,574.00",Nation-state,Social Engineering,Encryption,59
1042,USA,2021,SQL Injection,Education,"45,520,000.00","838,652.00",Unknown,Social Engineering,Encryption,20
1043,Japan,2018,DDoS,Communications,"99,040,000.00","389,405.00",Nation-state,Weak Passwords,Antivirus,53
1044,Russia,2022,Phishing,Communications,"56,440,000.00","359,577.00",Unknown,Zero-day,Encryption,38
1045,India,2022,Man in the Middle,Communications,"73,240,000.00","943,689.00",Insider,Zero-day,Firewall,32
1046,Brazil,2024,SQL Injection,Education,"14,690,000.00","783,795.00",Insider,Weak Passwords,AI-based Detection,43
1047,Germany,2017,DDoS,Healthcare,"72,050,000.00","263,506.00",Insider,Zero-day,Encryption,49
1048,Australia,2020,DDoS,Communications,"20,590,000.00","457,184.00",Insider,Social Engineering,VPN,11
1049,India,2019,SQL Injection,Banking,"68,440,000.00","186,842.00",Nation-state,Zero-day,VPN,40
1050,UK,2018,DDoS,Banking,"8,810,000.00","198,929.00",Nation-state,Weak Passwords,AI-based Detection,41
1051,Japan,2018,SQL Injection,Retail,"51,580,000.00","65,700.00",Hacker Group,Zero-day,Encryption,28
1052,Brazil,2021,Phishing,Communications,"83,790,000.00","90,156.00",Hacker Group,Unpatched Software,Antivirus,65
1053,Australia,2015,DDoS,Communications,"14,550,000.00","470,471.00",Nation-state,Unpatched Software,VPN,53
1054,China,2021,Malware,Retail,"20,520,000.00","33,426.00",Unknown,Social Engineering,Antivirus,16
1055,Russia,2024,Malware,Education,"83,290,000.00","143,037.00",Insider,Unpatched Software,Firewall,47
1056,Germany,2022,Ransomware,Communications,"79,770,000.00","151,930.00",Unknown,Zero-day,Encryption,4
1057,China,2018,Malware,Education,"97,200,000.00","499,651.00",Nation-state,Zero-day,Encryption,50
1058,Brazil,2017,DDoS,Education,"41,630,000.00","249,211.00",Insider,Zero-day,AI-based Detection,59
1059,Germany,2024,SQL Injection,IT,"1,010,000.00","470,074.00",Insider,Weak Passwords,Encryption,9
1060,Japan,2015,Phishing,Banking,"87,500,000.00","429,920.00",Nation-state,Zero-day,Encryption,37
1061,Australia,2019,SQL Injection,Healthcare,"750,000.00","269,314.00",Unknown,Social Engineering,VPN,64
1062,UK,2019,Man in the Middle,Healthcare,"37,160,000.00","696,199.00",Nation-state,Weak Passwords,Encryption,42
1063,Russia,2020,Phishing,Banking,"98,380,000.00","355,505.00",Nation-state,Unpatched Software,AI-based Detection,35
1064,Australia,2023,DDoS,IT,"55,940,000.00","890,234.00",Nation-state,Unpatched Software,VPN,53
1065,Brazil,2019,Ransomware,Communications,"23,630,000.00","581,616.00",Insider,Social Engineering,Encryption,1
1066,China,2021,SQL Injection,IT,"39,440,000.00","155,768.00",Nation-state,Social Engineering,AI-based Detection,19
1067,Australia,2024,Malware,Communications,"83,690,000.00","824,298.00",Nation-state,Unpatched Software,Firewall,4
1068,UK,2018,Malware,Government,"28,880,000.00","212,533.00",Insider,Unpatched Software,Antivirus,71
1069,Brazil,2019,Ransomware,Banking,"10,100,000.00","47,737.00",Hacker Group,Social Engineering,Encryption,69
1070,Brazil,2018,Man in the Middle,IT,"47,010,000.00","940,513.00",Unknown,Unpatched Software,Encryption,10
1071,Russia,2021,Man in the Middle,Banking,"18,660,000.00","292,992.00",Insider,Zero-day,Encryption,15
1072,Germany,2024,Malware,Communications,"79,720,000.00","639,779.00",Nation-state,Zero-day,Antivirus,6
1073,Australia,2019,DDoS,Banking,"29,850,000.00","949,862.00",Hacker Group,Weak Passwords,Firewall,25
1074,USA,2021,Phishing,Healthcare,"920,000.00","260,396.00",Hacker Group,Zero-day,Antivirus,16
1075,Australia,2024,Phishing,IT,"92,480,000.00","215,376.00",Nation-state,Social Engineering,Firewall,18
1076,France,2016,DDoS,Communications,"20,090,000.00","689,397.00",Insider,Social Engineering,AI-based Detection,68
1077,Brazil,2016,SQL Injection,Education,"16,240,000.00","238,092.00",Nation-state,Zero-day,AI-based Detection,32
1078,India,2019,Phishing,Banking,"18,420,000.00","289,539.00",Nation-state,Unpatched Software,Antivirus,27
1079,Russia,2020,DDoS,Healthcare,"49,020,000.00","382,327.00",Insider,Zero-day,VPN,30
1080,Australia,2018,Phishing,Government,"12,430,000.00","605,810.00",Unknown,Zero-day,Firewall,41
1081,Australia,2019,DDoS,Banking,"1,270,000.00","588,345.00",Insider,Unpatched Software,Firewall,49
1082,UK,2019,Phishing,Government,"21,580,000.00","831,367.00",Insider,Social Engineering,Antivirus,55
1083,Brazil,2019,Man in the Middle,Banking,"14,640,000.00","880,671.00",Hacker Group,Social Engineering,Firewall,66
1084,France,2023,DDoS,Retail,"92,320,000.00","418,211.00",Insider,Unpatched Software,Encryption,39
1085,France,2022,Man in the Middle,Retail,"31,400,000.00","264,380.00",Insider,Zero-day,VPN,37
1086,Brazil,2017,Phishing,Banking,"9,250,000.00","437,974.00",Hacker Group,Zero-day,Encryption,20
1087,India,2021,Phishing,IT,"37,100,000.00","713,949.00",Hacker Group,Unpatched Software,Antivirus,71
1088,USA,2022,SQL Injection,IT,"8,500,000.00","523,164.00",Hacker Group,Weak Passwords,AI-based Detection,30
1089,UK,2015,DDoS,Communications,"85,230,000.00","193,852.00",Insider,Zero-day,VPN,54
1090,UK,2024,DDoS,Retail,"14,090,000.00","655,640.00",Nation-state,Zero-day,Firewall,61
